Term,Df,Sum Sq,F value,Pr(>F),part.eta.sq
ewp_rate,2,13154894,3.36,0.03,0.00
ci_rate,2,249287415,65.30,0.00,0.03
simu_distr,2,1191261620,347.36,0.00,0.13
ci_access,2,6203258625,4542.33,0.00,0.65
iterat_times,1,18173,0.01,0.92,0.00"Term","Df","Df.res","Sum Sq","Sum Sq.res","F value","Pr(>F)","part.eta.sq"
"ewp_rate","ewp_rate",2,4857,13154894.4484577,9506595750.05157,3.36047329748993,0.0347995651667563,0.00138185283834697
"ci_rate",2,4857,249287414.534258,9270463229.96576,65.3035852879038,1.03188876438406e-28,0.0261863386808647
"simu_distr",2,4857,1191261620.43736,8328489024.06267,347.359387383922,1.0065980887781e-141,0.125135800812766
"ci_access",2,4857,6203258624.78994,3316492019.7102,4542.33373117501,0,0.651619864473421
"iterat_times",1,4858,18173.3341560364,9519732471.16586,0.00927400613383125,0.923284979793248,1.90901367427475e-06
