Term,Df,Sum Sq,F value,Pr(>F),part.eta.sq
ewp_rate,2,2249015430,747.61,0.00,0.24
ci_rate,2,3495935354,1401.27,0.00,0.37
simu_distr,2,52563014.25,13.43,0.00,0.01
ci_access,2,227869762.2,59.33,0.00,0.02
iterat_times,1,3201249.347,1.63,0.20,0.00"Term","Df","Df.res","Sum Sq","Sum Sq.res","F value","Pr(>F)","part.eta.sq"
"ewp_rate","ewp_rate",2,4857,2249015429.85302,7305601548.64691,747.609068880802,8.72161324859624e-284,0.23538520015128
"ci_rate",2,4857,3495935353.77896,6058681624.72099,1401.2749856357,0,0.365889638658002
"simu_distr",2,4857,52563014.2521591,9502053964.24784,13.4338618357313,1.51993666069738e-06,0.00550132091850856
"ci_access",2,4857,227869762.172522,9326747216.32746,59.3327667836022,3.48217508543776e-26,0.0238491781183149
"iterat_times",1,4858,3201249.3465023,9551415729.15349,1.62820567822635,0.20201241135664,0.000335047375913218
