Term,Df,Sum Sq,F value,Pr(>F),part.eta.sq
ewp_rate,2,173481115,44.86,0.00,0.02
ci_rate,2,828880580,230.44,0.00,0.09
simu_distr,2,1944006968,619.55,0.00,0.20
ci_access,2,4929780281,2583.33,0.00,0.52
iterat_times,1,109863,0.06,0.81,0.00"Term","Df","Df.res","Sum Sq","Sum Sq.res","F value","Pr(>F)","part.eta.sq"
"ewp_rate","ewp_rate",2,4857,173481114.503706,9390621694.4963,44.863790734874,4.93958314224377e-20,0.0181387755828447
"ci_rate",2,4857,828880579.931787,8735222229.06821,230.43907018941,2.45064555834136e-96,0.0866657956825595
"simu_distr",2,4857,1944006967.98366,7620095841.01636,619.548758998106,2.22017025351751e-240,0.20326077697056
"ci_access",2,4857,4929780281.35282,4634322527.64722,2583.32719439432,0,0.515446182438961
"iterat_times",1,4858,109862.849588394,9563992946.15042,0.0558044873417899,0.813264366653332,1.14870000649733e-05
