Term,Df,Sum Sq,F value,Pr(>F),part.eta.sq
ewp_rate,2,151380424.9,130.32,0.00,0.05
ci_rate,2,391866740.5,368.80,0.00,0.13
simu_distr,2,143603481.3,123.29,0.00,0.05
ci_access,2,167932016.4,145.43,0.00,0.06
iterat_times,1,4355240.158,7.13,0.01,0.00"Term","Df","Df.res","Sum Sq","Sum Sq.res","F value","Pr(>F)","part.eta.sq"
"ewp_rate","ewp_rate",2,4857,151380424.876242,2820891226.1238,130.323125687165,7.37575143532297e-56,0.0509308847410729
"ci_rate",2,4857,391866740.500234,2580404910.49972,368.798081042452,7.7365393370071e-150,0.131840822950486
"simu_distr",2,4857,143603481.323157,2828668169.67689,123.28807533233,5.90846858938977e-53,0.0483143864978965
"ci_access",2,4857,167932016.369454,2804339634.63059,145.425645566265,4.58369803572868e-62,0.0564995518875106
"iterat_times",1,4858,4355240.15823078,2967916410.84181,7.12882499365405,0.00761069260760754,0.00146529007762983
